ARO Category	ARO Accession	ARO Name
AMR Gene Family	ARO:3005458	ZOG beta-lactamase
AMR Gene Family	ARO:3005000	Zoliflodacin resistant gyrB
Drug Class	ARO:3000054	acridine dye
Drug Class	ARO:3007163	albendazole-like antibiotic
Drug Class	ARO:3005169	alkaloids with antibiotic activity
Drug Class	ARO:3000103	aminocoumarin antibiotic
Drug Class	ARO:0000016	aminoglycoside antibiotic
Drug Class	ARO:3005168	ansamycin antibiotic
Drug Class	ARO:3003956	antibacterial free fatty acids
Drug Class	ARO:3007150	bicyclomycin-like antibiotic
Drug Class	ARO:0000020	carbapenem
Drug Class	ARO:0000032	cephalosporin
Drug Class	ARO:0000044	cephamycin
Drug Class	ARO:3007154	cycloserine-like antibiotic
Drug Class	ARO:3000171	diaminopyrimidine antibiotic
Drug Class	ARO:3004491	diarylquinoline antibiotic
Drug Class	ARO:3005179	diazabicyclooctanes ANT3310
Drug Class	ARO:3005386	disinfecting agents and antiseptics
Drug Class	ARO:3001219	elfamycin antibiotic
Drug Class	ARO:0000001	fluoroquinolone antibiotic
Drug Class	ARO:3007153	fusidane antibiotic
Drug Class	ARO:3000081	glycopeptide antibiotic
Drug Class	ARO:0000042	glycylcycline
Drug Class	ARO:3007057	Helicobacter pylori pbp3 conferring resistance to amoxicillin
Drug Class	ARO:3005163	ionophore with antibiotic activity
Drug Class	ARO:3007152	isoniazid-like antibiotic
Drug Class	ARO:0000017	lincosamide antibiotic
Drug Class	ARO:3001318	macrocyclic antibiotic
Drug Class	ARO:0000000	macrolide antibiotic
Drug Class	ARO:3005170	metallophores with antibiotic activity
Drug Class	ARO:0000004	monobactam
Drug Class	ARO:3007151	mupirocin-like antibiotic
Drug Class	ARO:3004116	nitrofuran antibiotic
Drug Class	ARO:3004115	nitroimidazole antibiotic
Drug Class	ARO:3000034	nucleoside antibiotic
Drug Class	ARO:3007157	nybomycin-like antibiotic
Drug Class	ARO:3000551	organoarsenic antibiotic
Drug Class	ARO:3007166	orthosomycin antibiotic
Drug Class	ARO:3000079	oxazolidinone antibiotic
Drug Class	ARO:3007158	pactamycin-like antibiotic
Drug Class	ARO:3000008	penam
Drug Class	ARO:3003706	penem
Drug Class	ARO:3000053	peptide antibiotic
Drug Class	ARO:3000387	phenicol antibiotic
Drug Class	ARO:3007149	phosphonic acid antibiotic
Drug Class	ARO:3000670	pleuromutilin antibiotic
Drug Class	ARO:3000527	polyamine antibiotic
Drug Class	ARO:3005171	polyketide with antibiotic activity
Drug Class	ARO:3007162	protegrin-1-like antibiotic
Drug Class	ARO:3007155	pyrazine antibiotic
Drug Class	ARO:3005167	quinone with antibiotic activity
Drug Class	ARO:3000157	rifamycin antibiotic
Drug Class	ARO:3007159	salicylic acid antibiotic
Drug Class	ARO:0000034	streptogramin A antibiotic
Drug Class	ARO:0000026	streptogramin antibiotic
Drug Class	ARO:0000050	streptogramin B antibiotic
Drug Class	ARO:3000282	sulfonamide antibiotic
Drug Class	ARO:3003401	sulfone antibiotic
Drug Class	ARO:3005172	terpene with antibiotic activity
Drug Class	ARO:3007034	tetracenomycin antibiotic
Drug Class	ARO:3000050	tetracycline antibiotic
Drug Class	ARO:3007177	thiazolide antibiotic
Drug Class	ARO:3007156	thioamide antibiotic
Drug Class	ARO:3007161	thiosemicarbazone antibiotic
Drug Class	ARO:3007164	triazaacenaphthylene antibiotic
Drug Class	ARO:3007160	zoliflodacin-like antibiotic
Resistance Mechanism	ARO:0010000	antibiotic efflux
Resistance Mechanism	ARO:0001004	antibiotic inactivation
Resistance Mechanism	ARO:0001001	antibiotic target alteration
Resistance Mechanism	ARO:0001003	antibiotic target protection
Resistance Mechanism	ARO:0001002	antibiotic target replacement
Resistance Mechanism	ARO:3007115	modification to cell morphology
Resistance Mechanism	ARO:3000244	reduced permeability to antibiotic
Resistance Mechanism	ARO:3003764	resistance by absence
